ticker,location,corporate_viability,avg_roe,avg_rotc,avg_npm,avg_current_ratio,avg_debt_ebit,avg_div_payout_ratio,avg_eps_reps
ESRX,MO,0.00E+00,0.281615834,0.117825739,0.036908858,0.812636663,4.43273821,0,0.356790273
MDR,TX,0.00E+00,-0.159098203,0.005307136,2.05E-05,1.450419377,0.089151461,6.09E-04,0.436260141
NE,Unknown,0.00E+00,0.005306787,0.023588074,-0.137434915,1.905124537,-1.202402417,0.165182479,-0.008391611
TMUS,WA,0.00E+00,-0.207445438,-0.067968251,-0.016373773,1.662481063,52.6810379,0.045239326,-0.388203469
ATK,MN,0.00E+00,0.077849203,0.061973403,0.12294316,6.75924554,3.289332262,0,0.828894077
BGG,WI,0.00E+00,0.003681016,0.00670143,0.00251248,2.35380884,5.054570132,0.872814467,4.30E-04
MTCH,Unknown,0.00E+00,0.483143662,0.174629357,0.23059401,0.68139397,3.503919982,0,11.34404447
NOVT,GA,0.00E+00,0.107920673,0.076265037,0.075446565,3.225851045,1.861343498,0,-0.194992768
OXM,GA,0.00E+00,0.263246954,0.172412691,0.075173484,1.882598051,2.085624626,0.290530699,0.26476606
PPL,PA,0.00E+00,0.18172142,0.06618037,0.216932558,0.876749847,9.976329237,0.760398001,0.277543686
PWR,TX,0.00E+00,0.099249889,0.090257695,0.054589409,2.286320687,1.101560979,0,0.18237646
VGR,FL,0.00E+00,-1.859055128,0.125501748,0.061334125,2.590817672,10.92769689,3.376136756,-0.456335862
WYNN,NV,0.00E+00,2.114520963,0.074343757,0.096106137,1.909021304,24.20332377,4.86754457,7.614656189
CBG,CA,0.00E+00,0.261025321,0.114842669,0.06525939,1.205458906,-377.1368744,0,0.137734063
DRAD,CA,0.00E+00,0.037415834,0.033960166,0.028202101,2.420446821,5.683819629,0.225361896,-0.2054479
EVC,CA,0.00E+00,0.827076003,0.076593566,0.111951377,3.561595445,-143.2922503,0.471963456,-0.067090057
SMCI,CA,0.00E+00,0.153823942,0.136744501,0.048722874,2.221557679,0.916340719,0,0.180148098
SOFO,WI,0.00E+00,0.028828258,-0.47066769,-0.097115386,1.029291074,-4.748272219,0,0.016437997
SONC,OK,0.00E+00,0.920312767,0.133559142,0.126394599,1.436076291,9.807627145,0.148675089,0.056201747
TBTC,MN,0.00E+00,-0.052773822,-0.051931924,-0.050511665,3.529018375,0.039851732,0,-0.118821242
VRSK,NJ,0.00E+00,-0.049216345,0.283948827,0.338286042,0.67175944,3.171851574,0,0.329793784
CXW,TN,0.00E+00,0.141105983,0.068964095,0.112934886,1.074279288,7.733236008,1.174885396,-0.585295573
FIT,NY,0.00E+00,1.857152348,0.624968701,0.187505785,1.220805487,1.061621343,0,1.959742423
NUVA,CA,0.00E+00,-0.028405022,-0.016903049,-0.033217739,2.784746302,13.95357476,0,-0.062860713
SBH,TX,0.00E+00,-1.69528854,0.238649481,0.092444616,2.197992508,5.39768759,0,-0.17454962
STJ,MN,0.00E+00,0.238300208,0.138403362,0.182134752,2.261293351,3.354466249,0.210523674,0.198599727
TWIN,WI,0.00E+00,0.145024797,0.120914616,0.066627026,2.801670734,1.775890563,0.477113569,0.068235223
CWRL,TX,0.00E+00,1.182954169,2.043059789,-1.280063865,0.225884092,-0.355879351,0,0.078213619
HRC,IN,0.00E+00,0.083423704,0.04473977,0.045132171,1.903494653,8.542728559,0.330098519,0.039871998
ISSC,PA,0.00E+00,0.011956339,0.011950647,0.025310758,15.04736867,0.039838444,0,0.028884062
JCS,MN,0.00E+00,-0.053558266,-0.05350334,-0.034945449,4.693758782,0.100908749,1.711317,-0.128859198
MDRX,IL,0.00E+00,-0.023913308,-0.015077923,-0.023049177,1.050327914,143.9389547,0,0.031012698
MOS,MN,0.00E+00,0.14051147,0.118070258,0.16333256,2.853670886,4.938647079,0.643130868,0.125174241
TMO,MA,0.00E+00,0.085381122,0.05696296,0.109064877,2.012595852,5.645525536,0.077384553,0.177388255
AMCX,NY,0.00E+00,1.32563458,0.166353371,0.20420696,2.1585277,7.101500019,0,1.622714926
BRS,TX,0.00E+00,-0.021172611,0.005244488,0.005910138,2.153528624,0.160537648,0.193200782,-0.054684622
IART,NJ,0.00E+00,0.082941255,0.044683064,0.06399104,3.195859192,31.16460988,0,0.166940583
KRA,TX,0.00E+00,0.066444432,0.031848487,0.023858434,3.142158043,29.4294438,0,0.242685211
NKTR,CA,0.00E+00,-2.934655264,-0.964958918,-0.895274513,3.999488837,-1.946745575,0,0.067786956
VSAT,CA,0.00E+00,-0.05765997,-0.033188261,-0.053417417,1.827412046,-12.78808121,0,-0.275354765
AGCO,GA,0.00E+00,0.125923952,0.093011108,0.045540259,1.50927591,3.439371398,0.099137689,0.114863089
GPRE,NE,0.00E+00,0.088078767,0.042600486,0.018717942,1.618494878,14.71779861,1.071835724,0.27467369
HES,NY,0.00E+00,0.032526684,0.031347162,-0.110872873,1.458044942,3.64739639,0.190804386,-0.054052306
MHK,GA,0.00E+00,0.111762568,0.076224106,0.073066866,1.91230814,1.71539147,0,0.115029792
MMS,VA,0.00E+00,0.367644174,0.331710868,0.127409478,2.038824376,0.284633371,0.102346147,0.985393738
AMT,MA,0.00E+00,0.154699823,0.046484124,0.208522464,1.173141404,15.77003145,0.584461314,-0.595499762
AVT,AZ,0.00E+00,0.07815665,0.052584048,0.015680134,2.112970741,4.122628094,0.155139246,0.056121757
CE,CO,0.00E+00,0.553181947,0.141022833,0.124703952,1.890893553,5.792988846,0.189465207,0.216430134
INT,FL,0.00E+00,0.126300777,0.103542639,0.006424092,1.570164998,-1.990623662,0.077407433,0.135545149
ADS,TX,0.00E+00,2.192518969,0.080152284,0.153312964,1.9965984,11.79798723,0.033460248,0.209050619
IO,TX,0.00E+00,-1.369121191,-0.181461082,-0.151325276,1.788655995,-3.106201274,0,0.072497793
EQR,IL,0.00E+00,0.063745472,0.035021429,0.283046326,0.104719972,-35.59685959,1.025424428,1.02002289
ETN,Unknown,0.00E+00,0.134818863,0.087370585,0.094102379,1.501292181,4.606458077,0.472280285,0.254778676
GD,VA,0.00E+00,0.33264525,0.240119184,0.122151557,1.275664154,1.214659847,0.281800623,0.134547455
HII,VA,0.00E+00,0.059851083,-0.050098128,0.039909754,1.501886972,-114.1033119,3.632688964,0.811557745
SWX,NV,0.00E+00,0.138187617,0.068018531,0.094379113,0.964772404,7.593594906,0.472520286,0.245504649
AA,PA,0.00E+00,0.121810031,0.099083016,0.067078209,1.282350264,-2.193332757,0,2.144065659
CBM,NJ,0.00E+00,0.181135711,0.146215291,0.121474695,2.269621666,1.31850745,0,0.304025339
KEM,SC,0.00E+00,-0.017897032,0.013462029,0.005472916,2.618675609,-28.93515887,0.00278914,9.66673415
SSNI,CA,0.00E+00,0.410657313,0.559847326,-0.454042707,1.304545487,-0.64891914,0,0.16298728
XONE,PA,0.00E+00,-0.098185144,-0.011642987,-0.348102278,4.650203677,-0.333375926,0.010091845,0.468423194
ACA,NY,0.00E+00,0.074401844,0.071588232,0.077007009,2.655472747,0.978237388,0,3.882051282
ADES,Unknown,0.00E+00,0.264690306,-1.502343179,-0.0873955,0.985654506,1.984060114,0.113753032,0.650718786
ATHN,MA,0.00E+00,0.066973017,0.058816127,0.045450671,2.349596475,9.299145436,0,0.343068776
FC,UT,0.00E+00,0.076486445,0.061313526,0.044525526,1.636600849,3.969208315,0,0.140513359
HLS,AL,0.00E+00,0.378769655,0.126384903,0.128390918,1.47744459,6.613826573,0.244754485,-0.161250524
IT,CT,0.00E+00,0.877694389,0.332835451,0.101348379,0.809495105,0.517324526,0,0.131101977
MA,NY,0.00E+00,0.761845515,0.340114964,0.309011802,1.468580211,0.423411862,0.243274684,0.488540858
PTN,NJ,0.00E+00,-1.072088582,-5.76208955,-51.7827722,3.148162668,-0.253404697,0,0.05068508
RIG,Unknown,0.00E+00,7.04E-04,0.00277506,-0.076403213,1.964845244,2.968187031,0,2.540827473
SEIC,PA,0.00E+00,0.351213337,0.281922236,0.341632816,5.146238999,0.699805144,0.175512662,0.45342707
STZ,NY,0.00E+00,0.248118459,0.111531061,0.261077662,1.97587936,5.709589689,0.07691442,0.226522852
ATRO,NY,0.00E+00,0.271965629,0.177454994,0.119113005,2.602304221,2.196800587,0,0.228740016
DEST,PA,0.00E+00,-0.05052469,-0.011741851,0.003278492,1.540552101,-0.893128508,0.540844541,-12.07772
TGTX,NY,0.00E+00,-0.755353416,-0.649440575,-745.820523,8.282813494,-1.617180968,0,0.824874682
TRU,DE,0.00E+00,0.083099236,0.03282309,0.075954222,1.393591654,-271.8537059,0.025066281,0.612507852
BMRN,CA,0.00E+00,-0.110103636,-0.085211231,-0.256067574,3.547784056,-9.753756321,0,0.198546547
CCI,TX,0.00E+00,0.013416798,0.00633833,0.034430347,1.181664727,23.14349748,1.193333758,-0.098075983
CRM,CA,0.00E+00,-0.021962061,-0.01389358,-0.015964194,0.758386916,18.58480895,0,0.776001394
F,MI,0.00E+00,0.234523625,0.042129901,0.048027883,1.22183554,22.13231815,0.546826993,0.328682627
IVDN,PA,0.00E+00,0.060076187,-0.664164969,-0.779216783,2.325502883,3.734773813,0,0.049554913
PEG,NJ,0.00E+00,0.192699925,0.102390229,0.197101372,1.098721008,5.366370539,0.555549539,0.207289882
WIN,FL,0.00E+00,0.512221686,0.001724593,0.014802704,0.749724278,15.28987002,3.775904231,0.379110223
AMG,MA,0.00E+00,0.198104552,0.14124921,0.388364044,0.447316784,2.136337131,0,0.163068534
DDS,AR,0.00E+00,0.173045522,0.130994487,0.050474471,2.024598355,2.570872292,0.1263431,0.073371454
INFO,OR,0.00E+00,0.056190773,0.032239234,0.092525549,0.664261391,14.3241119,0,0.15384161
MLP,HI,0.00E+00,-0.892195179,0.366955227,0.414576052,0.190853625,4.39965467,0,-0.165347683
OSIS,CA,0.00E+00,0.115681511,0.096367213,0.064674763,1.926791983,4.106006998,0,0.140677571
QNST,CA,0.00E+00,-0.20945259,-0.146189586,-0.118548554,2.71470724,0.875909002,0,0.166882869
SHLO,DE,0.00E+00,0.106481356,0.062765177,0.019346145,1.455320686,-6.583834476,0.11943883,0.108264002
SKY,IN,0.00E+00,3.26E-05,2.35E-05,2.11E-05,1.574398315,11866.2,0,2.22E-04
SYNA,CA,0.00E+00,0.13068056,0.099710533,0.058366604,2.27530462,2.722718451,0,0.121000285
APH,CT,0.00E+00,0.326767592,0.193080997,0.183096257,2.77278929,2.160117918,0.133151852,0.262815178
CAG,NE,0.00E+00,0.162275177,0.081798804,0.072877687,1.454469645,11.01784906,0.730531351,0.095580726
CZR,NV,0.00E+00,1.600819024,-0.144233611,-0.194408802,1.009125293,6.323911836,0,0.05258971
