ticker,fiscal_year,cash_operating_activities,dividends_paid
ALTMS,2013,172519000,
ALTMS,2014,184884000,
ALTMS,2015,143978000,
ALTMS,2016,131704000,
ALTMS,2017,59328000,
ALTR,2016,21385000,
ALTR,2017,16091000,
ALTR,2018,36230000,
ALTR_delis,2008,449266000,-57051000
ALTR_delis,2009,372706000,-58925000
ALTR_delis,2010,856695000,-67774000
ALTR_delis,2011,959600000,-90060000
ALTR_delis,2012,587214000,-115514000
ALTR_delis,2013,590208000,-160377000
ALTR_delis,2014,666215000,-204609000
ALV,2009,492600000,-14800000
ALV,2010,924400000,-57700000
ALV,2011,758200000,-154300000
ALV,2012,688500000,-177600000
ALV,2013,837900000,-191000000
ALV,2014,712700000,-194900000
ALV,2015,750500000,-195700000
ALV,2016,868400000,-202800000
ALV,2017,935900000,-208700000
ALV,2018,590600000,-214300000
ALX,2010,76022000,-38295000
ALX,2011,92514000,-61277000
ALX,2012,109707000,-699791000
ALX,2013,73883000,-56197000
ALX,2014,49487000,-66436000
ALX,2015,106201000,-71571000
ALX,2016,130820000,-81822000
ALX,2017,123426000,-86961000
ALX,2018,73538000,-92100000
ALXN,2009,113841000,
ALXN,2010,160906000,
ALXN,2011,270084000,
ALXN,2012,410613000,
ALXN,2013,497349000,
ALXN,2014,640000000,
ALXN,2015,675200000,
ALXN,2016,1086300000,
ALXN,2017,1115600000,
ALXN,2018,426000000,
AMAT,2008,1710468000,-325405000
AMAT,2009,333000000,-319000000
AMAT,2010,1723000000,-349000000
AMAT,2011,2429000000,-397000000
AMAT,2012,1851000000,-434000000
AMAT,2013,623000000,-456000000
AMAT,2014,1800000000,-485000000
AMAT,2015,1163000000,-487000000
AMAT,2016,2466000000,-444000000
AMAT,2017,3609000000,-430000000
AMAT,2018,3787000000,-605000000
AMBA,2012,12686000,
AMBA,2013,10514000,
AMBA,2014,52258000,
AMBA,2015,123561000,
AMBA,2016,113314000,
AMBA,2017,85403000,
AMBA,2018,24472000,
AMCX,2010,265995000,
AMCX,2011,255233000,
AMCX,2012,569132000,
AMCX,2013,-49463000,
AMCX,2014,375762000,
AMCX,2015,370039000,
AMCX,2016,514325000,
AMCX,2017,385729000,
AMCX,2018,606547000,
AMD,2009,473000000,
AMD,2010,-412000000,
AMD,2011,382000000,
AMD,2012,-338000000,
AMD,2013,-148000000,
AMD,2014,-98000000,
AMD,2015,-226000000,
AMD,2016,90000000,
AMD,2017,68000000,
AMD,2018,7000000,
AMDA,2013,-9949000,
AMDA,2014,-14522000,
AMDA,2015,-9063000,
AMDA,2016,-7170000,
