ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income
SRE,2013,243863000,10557000000,1430000000,1009000000
SRE,2014,245891000,11035000000,1524000000,1162000000
SRE,2015,248249000,10231000000,1704000000,1350000000
SRE,2016,250217000,10183000000,1830000000,1371000000
SRE,2017,251545000,11207000000,1585000000,257000000
SRE,2018,268072000,11687000000,1046000000,1050000000
SRLP,2013,,4683349000,-25579000,-29838000
SRLP,2014,,5069762000,128323000,122814000
SRLP,2015,,3481914000,80164000,78348000
SRLP,2016,,2389998000,12274000,10166000
SRLP,2017,,2854996000,33319000,29497000
SRLP,2018,,3771133000,84851000,79819000
SRNE,2010,10435728,682568,-1808386,-1808386
SRNE,2011,10435728,529184,-3236491,-3236491
SRNE,2012,11405000,584000,-4845000,-4845000
SRNE,2013,15046000,460000,-21911000,-21911000
SRNE,2014,26679000,3825000,-36359000,-34657000
SRNE,2015,36909000,4590000,-13760000,-45811000
SRPT,2010,18539000,29420000,-32177000,-32177000
SRPT,2011,21599000,46990000,-2318000,-2318000
SRPT,2012,23602000,37329000,-121287000,-121287000
SRPT,2013,33850000,14219000,-111985000,-111985000
SRPT,2014,40026000,9757000,-135789000,-135789000
SRPT,2015,42290000,1253000,-220030000,-220030000
SRPT,2016,48697000,5421000,-267265000,-267265000
SRPT,2017,58818000,154584000,-48628000,-50688000
SRPT,2018,66250000,301034000,-362610000,-361918000
SRRA,2014,26681,,-23871000,-23873000
SRRA,2015,359988,,-53205000,-53260000
SRRA,2016,756006,,-47724000,-47867000
SRRA,2017,1247482,,-41859000,-42015000
SRRA,2018,1768480,,-53637000,-53335000
SSC,2015,23948487,4606380,-8575369,-8101273
SSC,2016,35998001,35185508,-28831089,-26407974
SSC,2017,61182209,144338805,-10192869,-9835601
SSI,2010,37656000,1470590000,58892000,37640000
