ticker,company_name,location,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid,ROE,ROTC,NPM,CURRENT_RATIO,DEBT_EBIT,DIV_PAYOUT_RATIO,EPS,REPS
ARW,Arrow Electronics Inc,NY,2012,109240000.0,20405128000.0,710359000,506332000,7715301000.0,10785687000.0,364357000.0,4910211000.0,1587478000.0,6798325000.0,3279289000.0,675033000,0.0,0.1781526232130416,0.11960522609369584,0.03481276863345332,1.5712768758817086,2.7476740633961136,0.0,4.635042109117539,30.019123031856463
ARW,Arrow Electronics Inc,NY,2013,102559000.0,21357285000.0,582219000,399420000,8585770000.0,12060883000.0,23878000.0,5301946000.0,2226132000.0,7876055000.0,3678709000.0,450691000,0.0,0.1391261480758588,0.09047920087498706,0.027260908865522935,1.6193620229251675,3.8645423801009584,0.0,3.8945387533029767,35.86919724256282
ARW,Arrow Electronics Inc,NY,2014,98675000.0,22768674000.0,683333000,498045000,9032607000.0,12435301000.0,13454000.0,5838021000.0,2067898000.0,8276390000.0,4176754000.0,673301000,0.0,0.16430575215483093,0.10950387828205317,0.030011980495658203,1.5472035814876308,3.045882461406079,0.0,5.047327083861161,42.3283911831771
ARW,Arrow Electronics Inc,NY,2015,94608000.0,23282020000.0,692183000,497726000,9186471000.0,13021930000.0,44024000.0,6056152000.0,2380575000.0,8827119000.0,4674480000.0,655079000,0.0,0.16500934130286204,0.10456868512450505,0.029730367038598885,1.516882502288582,3.502829454060559,0.0,5.260929308303737,49.408929477422625
ARW,Arrow Electronics Inc,NY,2016,90960000.0,23825261000.0,715397000,522750000,10316721000.0,14206366000.0,93827000.0,6689222000.0,2696334000.0,9740746000.0,5197230000.0,355806000,0.0,0.16020104711103944,0.09859682920418905,0.030026827408102686,1.5422901198375536,3.9001575349071915,0.0,5.747031662269129,57.13753298153034
ARW,Arrow Electronics Inc,NY,2017,88681000.0,26812508000.0,694288000,401962000,12417759000.0,16462809000.0,356806000.0,7956569000.0,2933045000.0,11462585000.0,5599192000.0,124557000,0.0,0.13885137945820028,0.08374930262995209,0.0258941834161877,1.5606926804757175,4.738452918673519,0.0,4.532673289656183,63.13857534308364
ARW,Arrow Electronics Inc,NY,2018,87476000.0,29676768000.0,909373000,716195000,13608300000.0,17784445000.0,246257000.0,8790428000.0,3239115000.0,12408079000.0,6335335000.0,272690000,0.0,0.16914268857440137,0.1026179063294356,0.030642588842558598,1.548081617868891,3.8327199070128537,0.0,8.187331382322009,72.4236933558919
ARWR,Arrowhead Research Corp,CA,2012,11129766.0,146875.0,-22110643,-21125928,6567336.0,16527818.0,314801.0,5327888.0,2121879.0,7718909.0,-134997680.0,-15340090,0.0,-2.510031946067328,-1.9661613989271705,-150.5405480851064,1.2326340193337397,-0.11020394115177926,0.0,-1.8981466456707177,-12.129426620469829
ARWR,Arrowhead Research Corp,CA,2013,24002224.0,290266.0,-31703079,-31143289,28843719.0,37329631.0,1192902.0,8725020.0,1111113.0,11594842.0,-166140969.0,-19032826,0.0,-1.2319152490428424,-1.1306858523637455,-109.2207802498398,3.305862794583852,-0.07267480234333075,0.0,-1.2975168051093933,-6.9218989456976985
ARWR,Arrowhead Research Corp,CA,2014,46933030.0,175000.0,-58720112,-58630190,154800770.0,182816756.0,263991.0,11847024.0,758340.0,16831501.0,-224771159.0,-35416373,0.0,-0.353767037921531,-0.35160146557653976,-335.5434971428571,13.066637663602268,-0.017410235866035132,0.0,-1.2492308721597563,-4.789189170185688
ARWR,Arrowhead Research Corp,CA,2015,57358442.0,382000.0,-91938482,-91940882,102871161.0,132267914.0,217548.0,15900571.0,540792.0,22646280.0,-316712041.0,-65707615,0.0,-0.8386892134813462,-0.8329271938404335,-240.6766544502618,6.4696520018054695,-0.0082483415377687,0.0,-1.6029180499707436,-5.5216290742346175
ARWR,Arrowhead Research Corp,CA,2016,61050880.0,158333.0,-81720602,-81723002,90502543.0,128176505.0,194310.0,25643794.0,2533455.0,33152246.0,-398435043.0,-64427486,0.0,-0.8599972560691055,-0.8359990786482334,-516.1312044867462,3.529218141434142,-0.033379159394836565,0.0,-1.3386048161795538,-6.52627845823025
ARWR,Arrowhead Research Corp,CA,2017,73898598.0,31407709.0,-34377895,-34380295,67902904.0,104022280.0,208506.0,18701048.0,2325018.0,23155118.0,-432815338.0,-23938972,0.0,-0.42511563593637675,-0.4122015854881577,-1.0945686933102952,3.6309678473634204,-0.07369630979441877,0.0,-0.46523609284170725,-5.856881587929449
ARWR,Arrowhead Research Corp,CA,2018,83638469.0,16142321.0,-54448078,-54450478,78768598.0,111609951.0,223820.0,12364951.0,2101198.0,16368950.0,-487265816.0,-47223417,0.0,-0.5716873765322983,-0.5580639505235937,-3.373001813060216,6.370312183202343,-0.04270156239491135,0.0,-0.6510219358510735,-5.825857668437235
ASCMA,Ascent Capital Group Inc,CO,2010,14200417.0,9129000.0,-33231000,-47394000,240686000.0,1644882000.0,20000000.0,93906000.0,896733000.0,1097142000.0,-917347000.0,50300000,0.0,-0.06066929565122138,-0.022691439172999435,-3.640157739073283,2.563052414116244,-27.586681111010805,0.0,-3.3375076238958337,-64.60000435198488
ASCMA,Ascent Capital Group Inc,CO,2011,14195834.0,311898000.0,-26403000,19888000,289893000.0,1625959000.0,60000000.0,123213000.0,892718000.0,1074532000.0,-905610000.0,131238000,0.0,-0.04788122453198701,-0.017553493845340707,-0.08465267491295231,2.3527793333495652,-36.08370260955194,0.0,1.400974398545376,-63.79406803432612
ASCMA,Ascent Capital Group Inc,CO,2012,14026000.0,344953000.0,-22407000,-29349000,261673000.0,1708893000.0,6950000.0,72150000.0,1101433000.0,1200290000.0,-935708000.0,146790000,0.0,-0.04405597292977037,-0.013857262833444446,-0.06495667525720895,3.6267914067914067,-49.46592582675057,0.0,-2.092471125053472,-66.7123912733495
ASCMA,Ascent Capital Group Inc,CO,2013,13926832.0,451033000.0,-18330000,-21471000,204022000.0,2225793000.0,9166000.0,95568000.0,1578796000.0,1711036000.0,-957179000.0,212233000,0.0,-0.035609034942701116,-0.008717284620531797,-0.04064004185946483,2.1348359283442155,-86.63186033824331,0.0,-1.5417002229940018,-68.72912662405922
ASCMA,Ascent Capital Group Inc,CO,2014,13611264.0,539449000.0,-34028000,-37752000,176500000.0,2163342000.0,9166000.0,91143000.0,1600805000.0,1723654000.0,-994931000.0,234604000,0.0,-0.07739124106184385,-0.016601785955615057,-0.06307917893999247,1.9365173408819107,-47.313124485717644,0.0,-2.7735851718106415,-73.09615036487426
ASCMA,Ascent Capital Group Inc,CO,2015,12947215.0,563356000.0,-79731000,-83384000,123273000.0,2173305000.0,5500000.0,86211000.0,1717654000.0,1848536000.0,-1078315000.0,208680000,0.0,-0.2455006481529949,-0.03893261611886775,-0.1415286248837325,1.4298987368201275,-21.61209567169608,0.0,-6.440303957260307,-83.28547876898622
ASCMA,Ascent Capital Group Inc,CO,2016,12256895.0,570372000.0,-83993000,-91244000,125033000.0,2132432000.0,11000000.0,95116000.0,1756878000.0,1893787000.0,-1169559000.0,188903000,0.0,-0.351957929141612,-0.041859973695791176,-0.14726003380250083,1.3145317296774466,-21.047920660055006,0.0,-7.444299718648157,-95.42049597389877
ASCMA,Ascent Capital Group Inc,CO,2017,12195530.0,553455000.0,-108059000,-107559000,140243000.0,2054985000.0,11000000.0,101554000.0,1780702000.0,1912313000.0,-1277118000.0,136497000,0.0,-0.7573945833800606,-0.05586251676252886,-0.1952444191488016,1.3809697303897435,-16.580775317187832,0.0,-8.81954289809463,-104.72017206304277
ASCMA,Ascent Capital Group Inc,CO,2018,12346804.0,540358000.0,-709655000,-698044000,151433000.0,1413544000.0,1895175000.0,1968422000.0,1770000.0,1978973000.0,-1998487000.0,92931000,0.0,1.2550735812984477,-0.5329676849545931,-1.3133052531840002,0.0769311661828612,-2.673052398700777,0.0,-56.53641217597688,-161.86269742355998
ASH,Ashland Inc,KY,2013,78000000.0,6091000000.0,749000000,683000000,2873000000.0,12088000000.0,320000000.0,1727000000.0,2947000000.0,7535000000.0,3758000000.0,653000000,-88000000.0,0.16450691851526467,0.09578005115089513,0.1229683139057626,1.6635784597568037,4.361815754339119,0.12884333821376281,8.756410256410257,48.17948717948718
ASH,Ashland Inc,KY,2014,77000000.0,6121000000.0,-116000000,233000000,3561000000.0,10920000000.0,338000000.0,1687000000.0,2911000000.0,7337000000.0,3475000000.0,580000000,-103000000.0,-0.03237510466089869,-0.016978922716627636,-0.01895115177258618,2.110847658565501,-28.00862068965517,0.44206008583690987,3.0259740259740258,45.12987012987013
ASH,Ashland Inc,KY,2013,78000000.0,6091000000.0,749000000,683000000,2873000000.0,12088000000.0,320000000.0,1727000000.0,2947000000.0,7535000000.0,3758000000.0,653000000,-88000000.0,0.16450691851526467,0.09578005115089513,0.1229683139057626,1.6635784597568037,4.361815754339119,0.12884333821376281,8.756410256410257,48.17948717948718
ASH,Ashland Inc,KY,2014,77000000.0,6121000000.0,-116000000,233000000,3561000000.0,10920000000.0,338000000.0,1687000000.0,2911000000.0,7337000000.0,3475000000.0,580000000,-103000000.0,-0.03237510466089869,-0.016978922716627636,-0.01895115177258618,2.110847658565501,-28.00862068965517,0.44206008583690987,3.0259740259740258,45.12987012987013
ASNA,Ascena Retail Group Inc,NY,2010,144400000.0,2374600000.0,209400000,133400000,716100000.0,1654100000.0,1400000.0,359200000.0,24600000.0,639400000.0,589300000.0,231400000,0.0,0.20636641371834039,0.20121072355145575,0.08818327297229007,1.9935968819599108,0.12416427889207259,0.0,0.9238227146814404,4.0810249307479225
