ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid
ABCD,2013,47040000,150520000,-14088000,-14253000,101197000,216210000,995000,81107000,176510000,279400000,-332695000,45786000,
ABCD,2014,45636000,141747000,-9355000,-9955000,63541000,169217000,1076000,81908000,138317000,244272000,-342650000,23643000,
ABCD,2015,45550000,144920000,-1132000,-1325000,39225000,141385000,3850000,94174000,97872000,215554000,-343975000,36773000,
ABCD,2016,45861000,152358000,10723000,10430000,33395000,131940000,7350000,104560000,67130000,193202000,-333545000,44479000,
ABCD,2017,46416000,158184000,15757000,45055000,35966000,158554000,5958000,107380000,41841000,172846000,-288490000,49203000,
ABG,2010,32200000,3761400000,57500000,38100000,876800000,1486300000,8900000,635800000,534900000,1199200000,-95700000,9900000,
ABG,2011,31800000,4141400000,75200000,67900000,792500000,1419400000,19500000,636300000,439100000,1092800000,-27800000,-181200000,
ABG,2012,31100000,4641800000,133300000,82200000,986400000,1661400000,4600000,779800000,461400000,1258600000,54400000,-20700000,
ABG,2013,30700000,5334900000,165300000,109100000,1108600000,1888600000,11100000,834200000,543300000,1398000000,163500000,50700000,
ABG,2014,29900000,5867700000,183000000,111600000,1275400000,2182000000,27400000,1039800000,670000000,1737100000,275100000,84200000,
ABG,2015,26300000,6588300000,273400000,169200000,1331200000,2294100000,13900000,1007800000,940400000,1979600000,444300000,155400000,
ABG,2016,22500000,6527800000,267800000,167200000,1332400000,2336100000,14000000,1104900000,912700000,2056400000,611500000,142300000,
ABG,2017,20800000,6456500000,209100000,139100000,1302100000,2356700000,12900000,1058200000,862600000,1962500000,750300000,266300000,
ABG,2018,20100000,6874400000,224800000,168000000,1553000000,2695400000,38800000,1303300000,866500000,2222200000,922700000,10100000,
ABM,2009,51373000,3481823000,84660000,54293000,620997000,1521153000,,342694000,172500000,834103000,512476000,140871000,-26727000
ABM,2010,52117000,3495747000,104073000,64121000,608756000,1548670000,,333851000,140500000,809645000,547944000,149864000,-28152000
ABM,2011,53121000,4246842000,105678000,68504000,733757000,1879598000,,443196000,300000000,1083712000,586625000,159990000,-29744000
ABM,2012,54000000,4300300000,92700000,62600000,749334000,1851158000,,455817000,215000000,1000760000,617372000,150600000,-31300000
ABM,2013,54900000,4427800000,98700000,72900000,864600000,2119200000,,508500000,314900000,1201700000,656800000,135300000,-32900000
ABM,2014,56100000,4649700000,110600000,75600000,927200000,2192900000,,526400000,319800000,1224100000,696900000,120700000,-34600000
ABM,2015,56700000,4897800000,72400000,76300000,894000000,2130700000,,568200000,158000000,1123200000,736500000,145300000,-36000000
ABM,2016,56300000,5144700000,51900000,57200000,991300000,2278800000,0,596800000,268300000,1304800000,756400000,83500000,-36900000
ABM,2017,57700000,5453600000,86800000,3700000,1235500000,3812600000,16900000,757800000,1161300000,2436900000,720100000,5600000,-39500000
ABM,2018,66100000,6442200000,87700000,97700000,1171000000,3627500000,37000000,792400000,902000000,2172800000,771200000,295000000,-46000000
ABMC,2010,21744768,10421000,-748000,-752000,4505000,6015000,130000,1604000,1480000,3358000,-16888000,-53000,
ABMC,2011,21744768,9272000,-335000,-345000,4276000,5636000,872000,2391000,608000,3266000,-17233000,449000,
ABMC,2012,21833003,9343000,-1115000,-1113000,3520000,4779000,1404000,3146000,,3415000,-18344000,236000,
ABMC,2013,22270636,8894000,-786000,-788000,3739000,4966000,1226000,3357000,0,3628000,-19132000,9000,
ABMC,2014,23336806,7285000,-488000,-490000,3016000,4078000,858000,2703000,213000,3108000,-19622000,98000,
ABMC,2015,25676976,6317000,-331000,-333000,2616000,3686000,75000,1729000,834000,2725000,-19955000,230000,
ABMC,2016,27463265,5609000,-341000,-345000,2386000,3371000,75000,1593000,753000,2346000,-20300000,241000,
ABMC,2017,29211454,4914000,-545000,-545000,1954000,2891000,87000,1477000,772000,2268000,-20845000,181000,
ABMC,2018,30115063,3872000,-1028000,-1030000,1613000,2475000,237000,1825000,,2621000,-21873000,-220000,
ABMD,2010,37167000,101151000,-10863000,-11755000,84737000,131588000,,22343000,,26845000,-274770000,1574000,
ABMD,2011,38374000,126375000,2543000,1495000,110539000,153911000,,22415000,,27614000,-273275000,3634000,
ABMD,2012,39113000,158124000,16862000,15014000,116605000,169999000,,27056000,,32919000,-258261000,26399000,
ABMD,2013,39334000,183643000,8530000,7351000,117966000,205407000,,30411000,,37054000,-250910000,23466000,
ABMD,2014,40632000,230311000,28765000,113688000,185039000,338367000,,39319000,,46807000,-137222000,43290000,
ABMD,2015,42204000,329543000,65838000,38147000,288392000,423931000,,46541000,,55156000,-99075000,76795000,
ABMD,2016,43238000,445304000,91343000,52116000,326958000,550414000,799000,69617000,15539000,98343000,-46959000,115116000,
ABMD,2017,44153000,593749000,160437000,112170000,494271000,786375000,,84682000,,96851000,140457000,192546000,
ABMD,2018,44911000,769432000,263360000,259016000,677197000,1054346000,,105998000,,117456000,399473000,252197000,
ABT,2007,1543082000,25914238000,4469648000,3606314000,14042733000,39713924000,2725915000,9103278000,9487789000,21889979000,10805809000,5183843000,-1959150000
ABT,2008,1545355000,29527552000,5856286000,4880719000,17042559000,42419204000,2731975000,11591908000,8713327000,24900513000,13825383000,6994620000,-2174252000
ABT,2009,1546983000,30764707000,7193774000,5745838000,23313891000,52581623000,5189620000,13049489000,11266294000,29394227000,17342694000,7275160000,-2414460000
ABT,2010,1546400000,35166721000,5712834000,4626172000,22317529000,60573852000,6394766000,17262434000,12523517000,37808721000,19215768000,8735981000,-2671475000
ABT,2011,1557000000,21407000000,1236000000,4728000000,23768774000,60276893000,3374755000,15480228000,12039822000,35750748000,20907362000,8970000000,-2938000000
ABT,2012,1575000000,19050000000,-220000000,5963000000,31323000000,67235000000,2391000000,13280000000,18085000000,40422000000,24151000000,9314000000,-3183000000
ABT,2013,1558000000,19657000000,2041000000,2576000000,19247000000,42953000000,3173000000,9507000000,3388000000,17686000000,21979000000,3324000000,-882000000
ABT,2014,1516000000,20247000000,2518000000,2284000000,13556000000,41207000000,4437000000,10467000000,3393000000,19568000000,22874000000,3675000000,-1342000000
ABT,2015,1496000000,20405000000,3183000000,4423000000,14155000000,41247000000,3130000000,9186000000,5871000000,19921000000,25757000000,2966000000,-1443000000
